new_context,original_context,citation_intent,section
Machine Learning Repository (UCI) tarafından sağlanan 1.353 web sitesi verisi mevcuttur <CITE> .,"Bu kapsamda Machine Learning Repository (UCI)'da erişime açılmış, 1.353 web sitesine ait veri bulunmaktadır <CITE> .",basis,synthetic-augmentation
"1.353 web sitesine ait veriler, Machine Learning Repository (UCI) kaynaklıdır ve herkese açıktır <CITE> .","Bu kapsamda Machine Learning Repository (UCI)'da erişime açılmış, 1.353 web sitesine ait veri bulunmaktadır <CITE> .",basis,synthetic-augmentation
"Bu çalışma için temel oluşturan 1.353 web sitesi verisi, Machine Learning Repository (UCI)'da yer almaktadır <CITE> .","Bu kapsamda Machine Learning Repository (UCI)'da erişime açılmış, 1.353 web sitesine ait veri bulunmaktadır <CITE> .",basis,synthetic-augmentation
"İlgili 1.353 web sitesi verisi, Machine Learning Repository (UCI) üzerinden temin edilmiştir <CITE> .","Bu kapsamda Machine Learning Repository (UCI)'da erişime açılmış, 1.353 web sitesine ait veri bulunmaktadır <CITE> .",basis,synthetic-augmentation
Çalışmamızda kullanılan veri seti 1.353 örneklem ve 10 özellik içermektedir <CITE>.,Elde edilen veriler 1.353 örnek ve 10 niteliğe sahiptir <CITE> .,basis,synthetic-augmentation
"Araştırmamız için temel teşkil eden veri, 1.353 veri noktası ve 10 öznitelikten meydana gelmektedir <CITE>.",Elde edilen veriler 1.353 örnek ve 10 niteliğe sahiptir <CITE> .,basis,synthetic-augmentation
"Mevcut veri setinin yapısı, 1.353 kayıt ve 10 farklı özelliğe sahip olduğunu göstermektedir <CITE>.",Elde edilen veriler 1.353 örnek ve 10 niteliğe sahiptir <CITE> .,basis,synthetic-augmentation
"Bu çalışmada incelenen veri, 1.353 gözlem ve 10 değişkenle karakterize edilmektedir <CITE>.",Elde edilen veriler 1.353 örnek ve 10 niteliğe sahiptir <CITE> .,basis,synthetic-augmentation
Model performans metriklerinin hesaplanmasında Tablo-2'deki veriler esas alınmıştır <CITE>.,Tablo-2'deki verileri kullanılması ile model performans ölçütlerinin hesaplanması aşağıdaki gibidir <CITE> :,basis,synthetic-augmentation
"Aşağıda sunulan model performans değerlendirmeleri, Tablo-2'de yer alan verilere dayanmaktadır <CITE>.",Tablo-2'deki verileri kullanılması ile model performans ölçütlerinin hesaplanması aşağıdaki gibidir <CITE> :,basis,synthetic-augmentation
"Model performans ölçütleri, Tablo-2'deki verilerden yararlanılarak belirlenmiştir <CITE>.",Tablo-2'deki verileri kullanılması ile model performans ölçütlerinin hesaplanması aşağıdaki gibidir <CITE> :,basis,synthetic-augmentation
