citation_context,section,citation_intent
"Türkiye’de ise nüfusun %67'sine tekabül eden 54.33 milyon kişinin internet kullanıcısı, mobil kullanıcı sayısının 51.45 milyon olduğu verilmektedir <CITE> .",Giriş,background
Genellikle sosyal mühendislik yöntemi kullanılarak e-posta veya anlık mesaj halinde kullanıcıya yapılan bir dolandırıcılık türüdür <CITE> .,Giriş,background
"Çeyreği saldırı istatistiklerine bakıldığında 246.695.333 tekil URL şüpheli bileşenler içermekte olup, 305.315 kişinin banka hesaplarından bu şekilde para alındığı raporlanmıştır <CITE> .",Giriş,background
"Sonuçta, insanların %97'sinin kimlik avı e-postalarını tanımlayamadığını göstermektedir <CITE> .",Giriş,background
"Makine öğrenmesi, bilgisayarların gerçekleştirdikleri eylemleri daha doğru bir hale getirmek üzere değiştirmesi veya uyarlamasıdır <CITE> .",Giriş,background
"Çalışma sonucunda, derin öğrenme tekniklerinin bir parçası olan yığılmış otomatik kodlayıcılar ile %86 başarı oranına ulaşılmıştır. <CITE> , çalışmasında makine öğrenmesi yöntemlerinin karşılaştırılmasını gerçekleştirmiş olup, 9 farklı özellik içeren 1.353 örnekten oluşan bir veri kümesinden yararlanmıştır.",Giriş,background
Rastgele Orman (RF) daha başarılı olsa da çapraz doğrulamanın kullanıldığı durumda çok katmanlı algılayıcı daha yüksek bir başarım elde etmiştir. <CITE> çalışmalarında Phishing Websites adlı veri seti kullanılmış ve RF ve PRISM algoritmalarının doğruluk oranında yüksek başarı gösterdiği ortaya çıkmıştır.,Giriş,background
<CITE> çalışmalarında Phishing Websites adlı veri seti kullanılmış ve RF ve PRISM algoritmalarının doğruluk oranında yüksek başarı gösterdiği ortaya çıkmıştır. <CITE> çalışmalarında PILFER adlı makine öğrenmesi yaklaşımını kullanarak 860 phishing postası ve 6.950 gerçek posta arasından kimlik avı yapan sitelerin doğruluk oranını %92 olarak bulmuştur.,Giriş,background
<CITE> Phishing   ve Spam   veri setlerini kullanarak 4.000 posta içerisinden 973 phishing postasını %97.99 doğruluk oranı ile Biased Support Vector Machine (BSVM) ile bulmuşlardır.,Giriş,background
Phishing <CITE> ve Spam   veri setlerini kullanarak 4.000 posta içerisinden 973 phishing postasını %97.99 doğruluk oranı ile Biased Support Vector Machine (BSVM) ile bulmuşlardır.,Giriş,background
Phishing   ve Spam <CITE> veri setlerini kullanarak 4.000 posta içerisinden 973 phishing postasını %97.99 doğruluk oranı ile Biased Support Vector Machine (BSVM) ile bulmuşlardır.,Giriş,background
"Bu kapsamda Machine Learning Repository (UCI)'da erişime açılmış, 1.353 web sitesine ait veri bulunmaktadır <CITE> .",Materyal ve Metot,basis
Elde edilen veriler 1.353 örnek ve 10 niteliğe sahiptir <CITE> .,Materyal ve Metot,basis
Bu öğrenme türü danışmanlı (denetimli) öğrenme olarak adlandırılmaktadır <CITE> .,Materyal ve Metot,background
Veri setindeki yüksek sayıda girdi vektörüne sonlu sayıdaki ayrık kategorilerden birinin atanması durumu sınıflandırma olarak ifade edilmiştir <CITE> .,Materyal ve Metot,background
"Modellerin performans sonuçlarının tespitinde çoğunlukla, gerçek sınıfların ve tahmin sınıfların değerlerini bulunduran hata matrisinde faydalanılmaktadır <CITE> .",Materyal ve Metot,background
"Elde edilebilecek olası sonuçlar Gerçek Pozitif (TP), Yanlış Pozitif (FP), Yanlış Negatif (FN) ve Gerçek Negatif (TN) elemanlarından oluşmaktadır <CITE> .",Materyal ve Metot,background
Tablo-2'deki verileri kullanılması ile model performans ölçütlerinin hesaplanması aşağıdaki gibidir <CITE> :,Materyal ve Metot,basis
"Kappa İstatistiği: Landis ve <CITE> çalışmasında kappa istatistik değerinin 0,4'ün üzerinde olması durumunda ölçümün tesadüfi olmadığını, uyum kabul edilebileceğini, kappa istatistik değerinin 0,6 ile 0,8 arasında olmasının önemli bir derecede uyum olduğunu göstermektedir.",Materyal ve Metot,background
Yapılan çalışmalar incelendiğinde benzer şekilde RF algoritmasının sahte web sayflarının tespit edilmesinde yüksek başarım sağladığı görülmektedir <CITE>.,Sonuç,support
Yapılan çalışmalar incelendiğinde benzer şekilde RF algoritmasının sahte web sayflarının tespit edilmesinde yüksek başarım sağladığı görülmektedir <CITE> .,Sonuç,support
Yapılan çalışmalar incelendiğinde benzer şekilde RF algoritmasının sahte web sayflarının tespit <CITE> .,Sonuç,support
Yapılan çalışmalar incelendiğinde benzer şekilde RF algoritmasının sahte web sayflarının tespit <CITE> .,Sonuç,support
Parti tipi üretimin gerçekleştiği imalât sistemlerinde performansı arttırmak için tek parça akışı uygulanabilir <CITE> .,Giriş,background
Bu sistemlere de Melez Üretim Sistemleri (MÜS) denir <CITE> .,Giriş,background
MÜS tasarımı için genellikle sezgisel yöntemler geliştirilmiştir <CITE>; .,Giriş,background
MÜS tasarımı için genellikle sezgisel yöntemler geliştirilmiştir <CITE>.,Giriş,background
MÜS tasarımı için genellikle sezgisel yöntemler geliştirilmiştir <CITE>.,Giriş,background
MÜS tasarımı için genellikle sezgisel yöntemler geliştirilmiştir <CITE> .,Giriş,background
Bunun yanında doğrusal olmayan programlama <CITE> ve doğrusal programlama <CITE> kullanarak MÜS tasarımı gerçekleştirilmeye çalışılmıştır.,Giriş,background
"Ayrıca bu yöntem, tekrarlayan denemeyanılma faaliyetlerini en aza indirmek, önerilen tasarımlar arasından en iyisini seçmek ve tasarım dünyası için bilimsel bir alt yapı oluşturarak bilgisayardan mümkün olduğu kadar fazla yararlanmayı da amaçlamaktadır <CITE> .",Aksiyomlarla tasarım yöntemi,basis
"Bir düşünsel örnek üzerinde çalışmanın amacı, gerçekte oluşabilecek pek çok durumu sergileyebilmektir. MÜS’nin hücrelerini tasarlamak amacıyla düzenli ve yüksek talepli parçalar için oluşturulan makine-parça matrisine bir kümelendirme yöntemi uygulamak gerekmektedir. Bu amaçla Ortalama Bağlantı Yöntemi <CITE> kullanılmıştır.",Düşünsel örnek üzerinde uygulama,background
Uzunca bir süredir çoğu bilgi sistemlerinde başarı ile kullanılan ve artık veri depolama ve yönetimi açısından en uygun ortam olarak kabul edilen veri tabanı yönetim sistemlerinde mekânsal verilerin de depolanabilmesi coğrafi bilgi sistemlerinin gelişiminde büyük rol oynamıştır <CITE> .,Giriş,background
Bu beklentilerin en önemli iki maddesinden biri olan ve çok kullanıcılı ortam olarak adlandırılan bu madde mekânsal veriye birden fazla kullanıcının ulaşarak güncelleme yapmasına imkân sağlanmasıdır <CITE> .,Giriş,background
"Veri tabanlarında versiyon, objelerin farklı durumlarının depolanması işlemidir <CITE> .",Versiyon,background
Obje versiyon modelinde versiyonlar objeler için tanımlanmaktadır ve obje versiyonları zamanın bir fonksiyonu olarak sıralandırılmaktadır <CITE> .,Versiyon,background
Bu değişikliklerin tamamının izlenmesi ile veri tabanındaki bütünlük sağlanmaktadır <CITE> .,Versiyon,background
"Veri modellerinin gelişmesi ile birlikte artık coğrafi bilgi sistemlerinde mekânsal veriler, geometri, öznitelik ve zaman bileşenleri ile ifade de edilmektedir <CITE>",Verilerin özgeçmişlerinin izlenmesi,background
Özgeçmiş bilgilerini tutan ilişkisel veri tabanlarında verilerin depolama yöntemleri ve verilerin güncellendiği coğrafi bilgi sistemi programları nasıl olursa olsun verilerin özgeçmişlerine ilişkin yapılacak sorgulamalar genellikle aşağıda belirtildiği gibi 3 farklı duruma yönelik olmaktadır <CITE> .,Özgeçmiş sorgulama yöntemleri,background
Eğilim ve davranışların otomatik olarak tahmin edilmesi ile gerçekleştirilen uygulamalar arasında daha önceki kampanyalardan hareketle yatırım getirisini maksimize edecek hedef kitlenin belirlenmesi ve şirket iflaslarının tahmin edilmesi yer almaktadır <CITE> .,GİRİŞ (INTRODUCTION),background
"Veri madenciliği teknikleri temel olarak, veri madenciliğinin amacına dayalı olarak tahmin edici ve tanımlayıcı yöntemler olmak üzere iki sınıf altında incelenebilir <CITE> .",GİRİŞ (INTRODUCTION),background
"Tanımlayıcı yöntemler içerisinde kümeleme analizi, birliktelik kuralları madenciliği, ardışıl örüntü madenciliği gibi yöntemler yer almaktadır <CITE> .",GİRİŞ (INTRODUCTION),background
"Bu doğrultuda, karşılaştırmalı analizler başlıca karar ağacı algoritmalarından C4.5 <CITE> , Decision Stump  , Hoeffding Tree  , LMT (Logistic Model Trees)  , Random Forest  , Random Tree   ve RepTree   yöntemleri kullanılarak gerçekleştirilmiştir.",GİRİŞ (INTRODUCTION),basis
"Bu doğrultuda, karşılaştırmalı analizler başlıca karar ağacı algoritmalarından C4.5  , Decision Stump <CITE> , Hoeffding Tree  , LMT (Logistic Model Trees)  , Random Forest  , Random Tree   ve RepTree   yöntemleri kullanılarak gerçekleştirilmiştir.",GİRİŞ (INTRODUCTION),basis
"Bu doğrultuda, karşılaştırmalı analizler başlıca karar ağacı algoritmalarından C4.5  , Decision Stump  , Hoeffding Tree <CITE> , LMT (Logistic Model Trees)  , Random Forest  , Random Tree   ve RepTree   yöntemleri kullanılarak gerçekleştirilmiştir.",GİRİŞ (INTRODUCTION),basis
"Bu doğrultuda, karşılaştırmalı analizler başlıca karar ağacı algoritmalarından C4.5  , Decision Stump  , Hoeffding Tree  , LMT (Logistic Model Trees) <CITE> , Random Forest  , Random Tree   ve RepTree   yöntemleri kullanılarak gerçekleştirilmiştir.",GİRİŞ (INTRODUCTION),basis
"Bu doğrultuda, karşılaştırmalı analizler başlıca karar ağacı algoritmalarından C4.5  , Decision Stump  , Hoeffding Tree  , LMT (Logistic Model Trees)  , Random Forest <CITE> , Random Tree   ve RepTree   yöntemleri kullanılarak gerçekleştirilmiştir.",GİRİŞ (INTRODUCTION),basis
"Bu doğrultuda, karşılaştırmalı analizler başlıca karar ağacı algoritmalarından C4.5  , Decision Stump  , Hoeffding Tree  , LMT (Logistic Model Trees)  , Random Forest  , Random Tree <CITE> ve RepTree   yöntemleri kullanılarak gerçekleştirilmiştir.",GİRİŞ (INTRODUCTION),background
"Bu doğrultuda, karşılaştırmalı analizler başlıca karar ağacı algoritmalarından C4.5  , Decision Stump  , Hoeffding Tree  , LMT (Logistic Model Trees)  , Random Forest  , Random Tree   ve RepTree <CITE> yöntemleri kullanılarak gerçekleştirilmiştir.",GİRİŞ (INTRODUCTION),basis
"Şirket iflaslarının yüksek doğruluk başarısı ile sınıflandırılması, hissedarlar, kredi veren kurum ve kuruluşlar, politika yapıcılar, yöneticiler gibi önemli ekonomik paydaşlar için çok kritik bir önem taşımaktadır <CITE> .",LİTERATÜR (LITERATURE),background
"Lam <CITE> , geri yayılım algoritması kullanarak yapay sinir ağı ile finansal performansın tahmin edilmesi üzerinde
çalışmıştır",LİTERATÜR (LITERATURE),background
"Aoki ve Hosonuma <CITE> çalışmalarında, CHAID karar ağacı algoritmasını kullanarak, 73'ü iflas etmiş ve 73'ü iflas etmemiş olan 146 Japon şirkete ilişkin bir sınıflandırma modeli oluşturmuştur.",LİTERATÜR (LITERATURE),background
