id,citation_context,section,citation_intent
29115,Süreç tamamlandığında ise ortaya çıkan performans değerlendirme ölçütlerinin ortalaması alınmış ve bu ortalama model performansı olarak kabul edilmiştir <CITE> .,Materyal ve Metot,basis
29131,"Afterwards, unidirectional flow in each cell was achieved by using the heuristic of Aneke and <CITE> .",Extended abstract,basis
29419,"Bu bölümde, bir yazılım ürününde meydana gelen hata zamanlarını içeren ve <CITE> çalışmasında verilen veri kümesi ele alınmaktadır.",Gerçek veri uygulaması Real data application,basis
29420,"Bu veri kümesi, gerçek zamanlı bir komut ve kontrol sisteminin 136 hata zamanını içermektedir. <CITE> çalışmasında bu veri kümesinin bir GS modeliyle modellenebileceğini ve GS modeline ait 𝑎 oran parametresinin",Gerçek veri uygulaması Real data application,basis
29421,"Gamma dağılımına ait olabilirlik fonksiyonu değeri; sırasıyla üstel, Weibull ve lognormal dağılımlarına ait olabilirlik fonksiyonlarının değerlerine oranlanır ve doğal logaritmaları alınarak olabilirlik oranına dayalı T-istatistiğinin değerleri sırasıyla 3.7343, 0.9483 ve 22.7349 olarak elde edilir <CITE> .",Gerçek veri uygulaması Real data application,support
29422,"Bu durumda ilk olayın gerçekleşme zamanı 𝛼 ve 𝛽 parametreleriyle gamma dağılımına sahip olan 𝑎 oran parametreli GS için parametrelerin en çok olabilirlik tahmin değerleri 𝑎 ̂= 0.9771, 𝛼 ̂= 0.7604 ve 𝛽 ̂= 123.7110 olarak hesaplanır <CITE> .",Gerçek veri uygulaması Real data application,support
29428,"Bu karışıklık matrisi kullanılarak, belirlenen altı performans ölçütü hesaplanabilmektedir <CITE> .",Performans Değerlendirme Ölçütleri,basis
29483,"Envanter, üç düzeyli kırılımla ana yetkinlik-yetkinlik-alt yetkinlik şeklinde bir organizasyonla toplam 254 alt düzey yetkinlikten oluşmaktadır ve çalışmanın veri tablolarında İngilizce asıl ifadeleriyle mevcuttur <CITE> .",Yöntem,basis
29485,"Arvenitou ve arkadaşları bu ana çalışmalarda toplamda en az 9 defa (en fazlası 41 defa) yer alan pratikleri yeterince sık kabul edip tablolaştırarak bilimsel yazılım geliştirmeyle en ilgili 20 yazılım mühendisliği pratiğinin listesini oluşturmuşlardır (bkz <CITE> 'te, bu çalışmanın veri tablolarında da tekrarlanan Çizelge-10).",Yöntem,basis
29489,Listenin orijinal İngilizce dökümlerine çalışmanın veri tablolarından ulaşılabilir <CITE> .,Yöntem,basis
29490,Çizelge-2'de örnekleri olan eşleştirmelerin tümünün orijinal İngilizce dökümüne yine çalışmanın veri tablolarından ulaşılabilir <CITE> .,Yöntem,basis
29491,Yazılım mühendisliği yetkinlik envanteri listesini kolay taramaları ve ayrıntılı referanslara bakabilmeleri için gerekli yönergeler kendilerine verilmiştir <CITE> .,Yöntem,basis
29492,İki kollayıcının her madde için yaptığı değerlendirmeler ham haliyle <CITE> da verilen veri tablosunun orijinal pratik yetkinlik eşleştirme yaprağında görülebilir.,Yöntem,basis
29497,"İki listenin de arka planını oluşturan referanslardan yapılan kontroller sonucu, çıkarılması açısından tereddüt oluşturan öğelerin, eşleştirme açısından doğru olduğu teyit edilmiş ve çıkarma yapılmamıştır <CITE>.",Bulgu ve Yorumlar,support
29603,"Saldırıların gerçekleştirilmesi: Özelleştirilmiş tfn2k aracı <CITE> , Scapy   veya benzeri araçların kullanılmasıyla DOS ve/veya DDOS saldırıların gerçekleştirilmesi, 4.",Ağ Sınama Ortamları,basis
29605,"Ağ trafiği izlerinin (trace) tcpdump <CITE> ile toplanması, ajan yazılımların gönderdiği bilgilerle Zabbix yazılımı kullanılarak deney ağının izlenmesi, 5.",Ağ Sınama Ortamları,basis
29606,"Deney ağını izlemek için kullanılan Zabbix yazılımı <CITE> , ileri seviyede izleme, uyarı ve görselleştirme imkanlarını ölçeklenebilir ve özdevinimli bir şekilde sunmaktadır.",Ağ Sınama Ortamları,basis
29617,Buna ek ters çevrilmiş artıkları ve doğrusal darboğazları kullanmaktadır <CITE> .,Materyal ve Metodoloji,basis
29618,"Lineer darboğazlar katmanı, öğrenmeyi hızlandırmak ve model kararlığını arttırmak için ReLu6 aktivasyon fonksiyonunu kullanmaktadır <CITE> .",Materyal ve Metodoloji,basis
29619,Bununla birlikte ikili sınıflandırma modellerinde veri setinde bir dengesiz bir dağılım olması durumunda Matthews Korelasyon Katsayısı da (MCC) diğer değerlendirme kriterlerinin yanı sıra kullanılmaktadır <CITE> .,Materyal ve Metodoloji,basis
29620,Performans değerlendirme kriterlerine ait bağıntılar Denklem 1-6'da verilmiştir <CITE>.,Materyal ve Metodoloji,basis
29693,"Bir ARIMA(p,d,q) modeli AR(p), I(d), MA(q) modellerinin birleşimiyle oluşur <CITE> .",YÖNTEMLER,basis
29818,Bu tarz bir yaklaşım hem insan benzeri sürüş dinamiklerini oluşturmayı daha kolay hale getirir hem de farklı ve çok sayıdaki doğrusal ve yanal yörünge çiftlerinin birleştirilmesine olanak tanır <CITE> .,Araştırma Sonuçları ve Tartışma,discuss
29842,"(  ) <CITE> da k-means'i CUDA ile paralelleştirmiştir; bu amaçla demet etiketi güncelleme, merkez güncellemeye merkez hareketlenmesi bulma olmak üzere 3 kernel yazmışlar.",LİTERATÜRE BAKIŞ,discuss
29843,"Deneylere göre CU-Kmeans, küçük bir veri seti üzerinde <CITE> 'den 5 kat daha hızlıymış.",LİTERATÜRE BAKIŞ,differ
29845,"(  )   Pande, & Altman, K-means for parallel architectures using all-prefix-sum sorting and updating steps, 2012) da k-means'i tamamen GPU'da uygulamıştır. <CITE> ve   çalışmalarındaki gibi demet güncelleme adımından önce sıralama yaklaşımı kullanılmıştır; fakat onlardan farklı olarak bu işlem GPU'da hesaplatılmıştır.",LİTERATÜRE BAKIŞ,discuss
29846,ve <CITE> çalışmalarındaki gibi demet güncelleme adımından önce sıralama yaklaşımı kullanılmıştır; fakat onlardan farklı olarak bu işlem GPU'da hesaplatılmıştır.,LİTERATÜRE BAKIŞ,differ
29847,"Çalışmada paralel-önek-toplamı tabanlı sıralama algoritması uygulanmıştır. (Wu, Zhang, & Hsu, GPU-Accelerated Large Scale <CITE> ,",LİTERATÜRE BAKIŞ,basis
29864,"Videolar <CITE> 'da belirtilen kurallar dikkate alınarak paketlere ayrılmakta, RTP protokolü kullanılarak bire yayım mekanizması ile istemcilere gönderilmektedir.",Geliştirilen Sistem,basis
