id,citation_context,section,citation_intent
44101,"Bu sorunu çözmek için <CITE> 'da ilk olarak, etkili öznitelik seçmek amacıyla bijective soft set yöntemi   kullanılmaktadır.",Önerilen,discuss
43799,"RareBoost (seyrek iteleme) <CITE> , hem kesinlik hem geri çağırma ölçevlerine odaklanarak pozitif ve negatif örneklerin ağırlıklarını farklı değiştirir.",Seyreklik Madenciliği,discuss
39683,"Wood ve <CITE>'ın çalışmasında karmaşık kelimesi, anlaşılması, analiz etmesi ya da başa çıkması zor olmaktan ziyade, birkaç kısımdan oluşan şey olarak ifade edilmekte ve zorluk ve karmaşıklık kavramlarının birbirinden farklı oldukları vurgulanmaktadır <CITE> .",,discuss
39787,"Özellikle ABD, Çin gibi gelişmiş ülkelerdeki yayın sayısı gelişmekte olan ülkelere kıyasla yüksek seyretmiştir <CITE> ,  .",BULGULAR,support
33806,"Evrişim katmanının içerdiği filtre sayısı kadar özellik haritası oluşturularak <CITE> modelin karmaşıklığını azaltmak için depth (derinlik), stride (adım kaydırma) ve zeropadding (sıfır ekleme) işlemleri uygulanmaktadır  .",Materyal ve Yöntem,basis
43098,Klasik ve bulanık küme üyelik fonksiyonları sırasıyla Denklem (1) ve Denklem (2)'de sunulmuştur <CITE> .,Materyal ve Metot,basis
32929,"Bir başka çalışmada <CITE> ise yine wav2vec2-XLSR-53 modelinin Common Voice, Youtube ve Ses kayıtları kullanılarak ince ayar yapıldığı görülmüştür.",Benzer Çalışmalar,discuss
44071,"derlemesi, IoT'nin güvenliği için önerilen yaklaşımlardaki makine öğrenimi ve derin öğrenme modellerine odaklanmaktadır ve sistematik olmayan bir derlemedir. <CITE> 'te, güvenlik ve gizlilik sorunları için IoT'deki derin öğrenme uygulamaları ile ilgili kapsamlı bir inceleme sağlanma ktadır.",İlgili Derlemeler,discuss
44277,"Olson ve diğerleri çalışmalarında proje baskısı veya yetersiz uyku kaynaklı huzursuzlukların aile içinde büyük çatışmalara dönüşebileceğini ve eşler arasında bir rol çatışması yaşatabileceğine dikkat çekmiş, aşırı ve zorunlu fazla mesainin aile hayatını olumsuz yönde etkilediğini belirtmişlerdir <CITE> .",SONUÇ VE TARTIŞMA,discuss
33528,Tip I kareler toplamı hesaplanabilirken dengesiz tasarımlarda ise regresyon yaklaşımı ile Tip III kareler toplamı hesaplanması önerilmektedir <CITE>.,GEREÇ VE YÖNTEM,basis
36959,Ayrıca çok-seviyeli heterojen ağ modelindeki KB seçim olasılığı denklem (13)'deki gibi verilebilir <CITE>.,Önerilen Yöntemin Ağ ve Enerji Modeli,basis
41147,"iş birliği ile üretilmiş ve herkese kullanım imkânı sunulmuş, güncel bir veri kümesi olan CSE-CIC-IDS2018 tercih edilmiştir <CITE> .",Veri Kümesi,basis
30819,"Bu çalışmada, CRF Suite <CITE> kütüphanesinin Python gerçeklemesinden faydalanılmıştır.",SİSTEM TASARIMI,basis
45032,Gauss yoğunluğunun ağırlıklı birleşiminin toplamı eşitlik 5'de gösterilmiştir <CITE> .,Materyal ve Yöntem,basis
45240,"Yani pozitif tahmin edilmesi gerekenlerin ne kadarının pozitif tahmin edildiğini gösteren, tüm pozitifler arasındaki gerçek pozitiflerin oranı veren ölçüttür <CITE> .",Araçlar ve Yöntem,basis
40651,(PSO) algoritması <CITE> ve ABC algoritması   ile karşılaştırılmıştır.,Bulgular,discuss
34303,"yılına göre yaptığı tahminlerde ise J4.8 ve NaiveBayes algoritmaları ile en iyi sonuçları elde etmiştir. Can, Özdil ve <CITE> ise öğrencilere uygulanan bir ölçek ile ders başarısını etkileyen unsurları lojistik regresyon yöntemi ile tahmin etmiş ve ders tekrarı sayısı ile yenilikçi uygulamaların etkilediğini belirlemiştir.",Tartışma ve Sonuç,discuss
47721,Veri toplama aşamasında OpenCV ve PCL <CITE> Geçmiş çalışmalarda genellikle robotun sadece kapının tam karşısında olduğu durumlar için testler yapılmıştır.,"""OGUROB KAPI"" Veri Kümesi",basis
46119,Doğruluk: Doğruluk değeri modelde doğru tahmin edilen alanların toplam veri kümesine oranı ile hesaplanmaktır (1) <CITE> .,Materyal ve Metot / Materials and Methods,basis
