id,citation_context,section,citation_intent
29100,"Türkiye'de ise nüfusun %67'sine tekabül eden 54.33 milyon kişinin internet kullanıcısı, mobil kullanıcı sayısının 51.45 milyon olduğu verilmektedir <CITE> .",giriş,background
29101,Genellikle sosyal mühendislik yöntemi kullanılarak e-posta veya anlık mesaj halinde kullanıcıya yapılan bir dolandırıcılık türüdür <CITE> .,giriş,background
29102,"Çeyreği saldırı istatistiklerine bakıldığında 246.695.333 tekil URL şüpheli bileşenler içermekte olup, 305.315 kişinin banka hesaplarından bu şekilde para alındığı raporlanmıştır <CITE> .",giriş,background
29103,"Sonuçta, insanların %97'sinin kimlik avı e-postalarını tanımlayamadığını göstermektedir <CITE> .",giriş,background
29104,"Makine öğrenmesi, bilgisayarların gerçekleştirdikleri eylemleri daha doğru bir hale getirmek üzere değiştirmesi veya uyarlamasıdır <CITE> .",giriş,background
29105,"Çalışma sonucunda, derin öğrenme tekniklerinin bir parçası olan yığılmış otomatik kodlayıcılar ile %86 başarı oranına ulaşılmıştır. <CITE> , çalışmasında makine öğrenmesi yöntemlerinin karşılaştırılmasını gerçekleştirmiş olup, 9 farklı özellik içeren 1.353 örnekten oluşan bir veri kümesinden yararlanmıştır.",giriş,background
29106,Rastgele Orman (RF) daha başarılı olsa da çapraz doğrulamanın kullanıldığı durumda çok katmanlı algılayıcı daha yüksek bir başarım elde etmiştir. <CITE> çalışmalarında Phishing Websites adlı veri seti kullanılmış ve RF ve PRISM algoritmalarının doğruluk oranında yüksek başarı gösterdiği ortaya çıkmıştır.,giriş,background
29107,<CITE> çalışmalarında PILFER adlı makine öğrenmesi yaklaşımını kullanarak 860 phishing postası ve 6.950 gerçek posta arasından kimlik avı yapan sitelerin doğruluk oranını %92 olarak bulmuştur.,giriş,background
29108,<CITE> Phishing   ve Spam   veri setlerini kullanarak 4.000 posta içerisinden 973 phishing postasını %97.99 doğruluk oranı ile Biased Support Vector Machine (BSVM) ile bulmuşlardır.,giriş,background
29109,Phishing <CITE> ve Spam   veri setlerini kullanarak 4.000 posta içerisinden 973 phishing postasını %97.99 doğruluk oranı ile Biased Support Vector Machine (BSVM) ile bulmuşlardır.,giriş,background
29110,Phishing   ve Spam <CITE> veri setlerini kullanarak 4.000 posta içerisinden 973 phishing postasını %97.99 doğruluk oranı ile Biased Support Vector Machine (BSVM) ile bulmuşlardır.,giriş,background
29111,"Bu kapsamda Machine Learning Repository (UCI)'da erişime açılmış, 1.353 web sitesine ait veri bulunmaktadır <CITE> .",materyal ve metot,basis
29112,Elde edilen veriler 1.353 örnek ve 10 niteliğe sahiptir <CITE> .,materyal ve metot,basis
29113,Bu öğrenme türü danışmanlı (denetimli) öğrenme olarak adlandırılmaktadır <CITE> .,materyal ve metot,background
29114,Veri setindeki yüksek sayıda girdi vektörüne sonlu sayıdaki ayrık kategorilerden birinin atanması durumu sınıflandırma olarak ifade edilmiştir <CITE> .,materyal ve metot,background
29117,"Modellerin performans sonuçlarının tespitinde çoğunlukla, gerçek sınıfların ve tahmin sınıfların değerlerini bulunduran hata matrisinde faydalanılmaktadır <CITE> .",materyal ve metot,background
29118,"Elde edilebilecek olası sonuçlar Gerçek Pozitif (TP), Yanlış Pozitif (FP), Yanlış Negatif (FN) ve Gerçek Negatif (TN) elemanlarından oluşmaktadır <CITE> .",materyal ve metot,background
