id,citation_context,section,citation_intent
49312,"Önerilen yöntemi, Montgomery County’nin tüberküloz kontrol programından alınan 138 göğüs röntgeni görüntüsü üzerinde denemişler ve en yüksek %94 Dice katsayısı değeri elde etmişlerdir. Liu ve diğerleri <CITE>, iyileştirilmiş bir U-Net ağı tasarlamışlardır. Kodlayıcı olarak ön eğitim Efficientnet-b4’ü kullanırken, kod çözücü olarak resudial blok ve LeakyRelu etkinleştirme işlevlerini kullanmışlardır.",önceki çalişmalar,background
31869,"SOA'dan en önemli farkı ise bir ESB mekanizmasına ihtiyaç duymamasıdır. Mikroservis temelli uygulamalarda servis iletişimleri, REST API  , GraphQL <CITE> , ve gRPC   gibi günümüzün yaygın iletişim protokolleri ile sağlanabilmektedir. Mikroservis mimaride senkron ve asenkron iletişim teknikleri kullanılabilir ve geliştirilen mikroservisler konteyner teknolojileri [REF] ile yönetilebilir.",giriş,background
48749,"Öğrenci sayısının çok olduğu büyük sınıflarda yoklama işlemi oldukça zaman almaktadır. Yoklamadan kaynaklanan süre kayıplarını ortadan kaldırmak veya en aza indirmek amacıyla günümüzde yoklama işlemi akıllı kart, radyo frekansı ile tanımlama (Radio Frequency IDentification, RFID) [REF][REF], yakın alan haberleşmesi (Near Field Communication, NFC) <CITE>, akıllı telefon uygulamaları [REF] vb. birçok farklı teknolojik altyapı kullanılarak otomatik bir şekilde gerçekleştirilmektedir.",giriş,background
35346,"Bir çok farklı alandan beslenen veri madenciliği; istatistik, makine öğrenmesi, yapay zeka, örüntü tanıma alanlarındaki gelişmelerden de beslenmektedir [REF]. Akpınar'a <CITE> göre veri madenciliği yöntemleri istatistik, yapay zeka ve makine öğrenmesinden yararlanmaktadır.",kavramlar,background
29959,"Bugün de, tüm süreçler bu başlıkları esas alarak geliştirilmektedir. <CITE> Yaşanan sorunlarda beklenen büyük çözümün gerçekleşmemesi sonucunda tanımlanan yeni süreçlerde en öne çıkan ise ""Spiral Model"" olur. B. Boehm, ilgili makalesinde örnek aldığı süreçlerde yaşanan sıkıntılar olarak risk tanımlamalarını değerlendirilmemesini (süreç dahilindeki analizlerin yetersiz olmasını), temel analiz çalışmalarının yetersiz olmasını, geliştirme sürecinde geri dönüşlerin fazla efor gerektirmesini (bu nedenle geri dönüşlerin hem yüksek maliyetli olmasını, hem de göz ardı edilebildiğini) göstermiş ve yeni modeli önermiştir.",art alan ve ilgili çalışmalar,background
49439,Her bir varlık türü için belirleyici olan anahtar kelimeler tanımlanmıştır. Anahtar kelimelerin tanımlanmasında <CITE>’daki çalışmadan yararlanılmış olup sistem eğitim verisi oluşturulurken gözlemlenen durumlara göre yeni kurallar ve yeni anahtar kelimeler eklenmiştir. Son durumda sistem üzerinde tanımlı toplam 33 adet kural 335 adet anahtar kelime kullanılmıştır.,geliştirilen sistemin yapısı,basis
32388,"Bu teknolojiler, hastaların hastanede kalış sürelerini ve maliyetlerini azaltmakta ve aynı anda tedavi edilebilecek hasta sayısını artırmaktadır <CITE>. Bu rehabilite edici modların bir başka olumlu yönü, hasta ile sağlık hizmeti sağlayıcısı arasında tedaviye uyumu artıran doğrudan ve sürekli etkileşimdir [REF].",yapay zekâ temelli akilli rehabilitasyon teknikleri,background
49293,"Son zamanlarda donanım, veri setleri ve algoritmalardaki iyileştirmeler gibi üç teknik noktada büyük ilerleme kaydedilmiştir. Bu nedenlerden ötürü, araştırmacılar farklı doğal dil işleme (DDİ) görevlerinde metin içeriklerinden değerli bilgileri çıkarmak için derin sinir ağlarına yönelebilmişlerdir <CITE>. Sahte haber tespitinde araştırmacılar, oldukça popülerleşen kavramsallaştırılmış ön-eğitimli kelime gömülme yöntemlerini kullanarak, denetimli veya denetimsiz öğrenme yöntemlerini uygulamaktadırlar.",giriş,background
31493,"Dolayısıyla, bir makale dikkat çektiktçe atıf sayısı da artmaktadır. Atıf sayıları, akademik arama motorlarının sıralama algoritmalarında da kullanılmaktadır <CITE>. Kullanıcıların arama sonuçlarında sadece ilk sayfadaki sonuçları incelediği, daha sonraki sayfalarda yer alan sonuçları göz ardı ettiği gözlemlenmiştir [REF].",giriş,background
35017,"Bu çalışmada, akciğer görüntü segmentasyonu için U-Net mimarisi kullanılmıştır. U-Net <CITE>, görüntü segmentasyonu için tasarlanmış bir evrişimli sinir ağı mimarisidir ve yapısı Şekil 2'de gösterilmektedir.",yöntem,basis
