citation_context,section,citation_intent
"Türkiye’de ise nüfusun %67'sine tekabül eden 54.33 milyon kişinin internet kullanıcısı, mobil kullanıcı sayısının 51.45 milyon olduğu verilmektedir (Kemp, 2018) .",Giriş,background
"Genellikle sosyal mühendislik yöntemi kullanılarak e-posta veya anlık mesaj halinde kullanıcıya yapılan bir dolandırıcılık türüdür (Sönmez, 2017) .",Giriş,background
"Çeyreği saldırı istatistiklerine bakıldığında 246.695.333 tekil URL şüpheli bileşenler içermekte olup, 305.315 kişinin banka hesaplarından bu şekilde para alındığı raporlanmıştır (Chebyshev vd., 2018) .",Giriş,background
"Sonuçta, insanların %97'sinin kimlik avı e-postalarını tanımlayamadığını göstermektedir (Paganini, 2015) .",Giriş,background
"Makine öğrenmesi, bilgisayarların gerçekleştirdikleri eylemleri daha doğru bir hale getirmek üzere değiştirmesi veya uyarlamasıdır (Marshland, 2015) .",Giriş,background
"Çalışma sonucunda, derin öğrenme tekniklerinin bir parçası olan yığılmış otomatik kodlayıcılar ile %86 başarı oranına ulaşılmıştır. Kalaycı (2018) , çalışmasında makine öğrenmesi yöntemlerinin karşılaştırılmasını gerçekleştirmiş olup, 9 farklı özellik içeren 1.353 örnekten oluşan bir veri kümesinden yararlanmıştır.",Giriş,background
Rastgele Orman (RF) daha başarılı olsa da çapraz doğrulamanın kullanıldığı durumda çok katmanlı algılayıcı daha yüksek bir başarım elde etmiştir. Koşan vd. (2018) çalışmalarında Phishing Websites adlı veri seti kullanılmış ve RF ve PRISM algoritmalarının doğruluk oranında yüksek başarı gösterdiği ortaya çıkmıştır.,Giriş,background
Koşan vd. (2018) çalışmalarında Phishing Websites adlı veri seti kullanılmış ve RF ve PRISM algoritmalarının doğruluk oranında yüksek başarı gösterdiği ortaya çıkmıştır. Fette vd. (2007) çalışmalarında PILFER adlı makine öğrenmesi yaklaşımını kullanarak 860 phishing postası ve 6.950 gerçek posta arasından kimlik avı yapan sitelerin doğruluk oranını %92 olarak bulmuştur.,Giriş,background
Basnet vd. (2008) Phishing   ve Spam   veri setlerini kullanarak 4.000 posta içerisinden 973 phishing postasını %97.99 doğruluk oranı ile Biased Support Vector Machine (BSVM) ile bulmuşlardır.,Giriş,background
Phishing Corpus (2006) ve Spam   veri setlerini kullanarak 4.000 posta içerisinden 973 phishing postasını %97.99 doğruluk oranı ile Biased Support Vector Machine (BSVM) ile bulmuşlardır.,Giriş,background
Phishing   ve Spam Assassin (2006) veri setlerini kullanarak 4.000 posta içerisinden 973 phishing postasını %97.99 doğruluk oranı ile Biased Support Vector Machine (BSVM) ile bulmuşlardır.,Giriş,background
"Bu kapsamda Machine Learning Repository (UCI)'da erişime açılmış, 1.353 web sitesine ait veri bulunmaktadır (Abdelhamid vd., 2014) .",Materyal ve Metot,basis
"Elde edilen veriler 1.353 örnek ve 10 niteliğe sahiptir (Abdelhamid, vd., 2014) .",Materyal ve Metot,basis
"Bu öğrenme türü danışmanlı (denetimli) öğrenme olarak adlandırılmaktadır (Aydın ve Özkul, 2015) .",Materyal ve Metot,background
"Veri setindeki yüksek sayıda girdi vektörüne sonlu sayıdaki ayrık kategorilerden birinin atanması durumu sınıflandırma olarak ifade edilmiştir (Balaban ve Kartal, 2015) .",Materyal ve Metot,background
Makine öğrenmesinde sınıflandırma metodu ile oluşturulan modelin Avrupa Bilim ve Teknoloji Dergisi e-ISSN: 2148-2683 830 başarısını ölçmek için bu ölçütler sıklıkla kullanılmaktadır.,Materyal ve Metot,other
"Modellerin performans sonuçlarının tespitinde çoğunlukla, gerçek sınıfların ve tahmin sınıfların değerlerini bulunduran hata matrisinde faydalanılmaktadır (Şirin, 2017) .",Materyal ve Metot,background
"Elde edilebilecek olası sonuçlar Gerçek Pozitif (TP), Yanlış Pozitif (FP), Yanlış Negatif (FN) ve Gerçek Negatif (TN) elemanlarından oluşmaktadır (Dataschool, 2014) .",Materyal ve Metot,background
"Tablo-2'deki verileri kullanılması ile model performans ölçütlerinin hesaplanması aşağıdaki gibidir (Aydemir, 2018) :",Materyal ve Metot,basis
"Kappa İstatistiği: Landis ve Koch (1977) çalışmasında kappa istatistik değerinin 0,4'ün üzerinde olması durumunda ölçümün tesadüfi olmadığını, uyum kabul edilebileceğini, kappa istatistik değerinin 0,6 ile 0,8 arasında olmasının önemli bir derecede uyum olduğunu göstermektedir.",Materyal ve Metot,background
"Yapılan çalışmalar incelendiğinde benzer şekilde RF algoritmasının sahte web sayflarının tespit edilmesinde yüksek başarım sağladığı görülmektedir (Miyamoto vd., 2008; .",Sonuç,support
"Yapılan çalışmalar incelendiğinde benzer şekilde RF algoritmasının sahte web sayflarının tespit edilmesinde yüksek başarım sağladığı görülmektedir Kalaycı, 2018; .",Sonuç,support
"Yapılan çalışmalar incelendiğinde benzer şekilde RF algoritmasının sahte web sayflarının tespit edilmesinde yüksek başarım sağladığı görülmektedir Koşan vd., 2018; .",Sonuç,support
"Yapılan çalışmalar incelendiğinde benzer şekilde RF algoritmasının sahte web sayflarının tespit edilmesinde yüksek başarım sağladığı görülmektedir Sahingoz vd., 2019; .",Sonuç,support
Yapılan çalışmalar incelendiğinde benzer şekilde RF algoritmasının sahte web sayflarının tespit edilmesinde yüksek başarım sağladığı görülmektedir ) .,Sonuç,support
"Şule Itır SATOĞLU * , M. Bülent DURMUŞOĞLU İTÜ Fen Bilimleri Enstitüsü, Design of hybrid cellular manufacturing systems in erratic demand conditions using axiomatic design",Düzensiz talep koşullarında melez üretim sistemlerinin aksiyomlarla tasarımı,other
"Şule Itır SATOĞLU * , M. Bülent DURMUŞOĞLU Endüstri Mühendisliği Programı, Design of hybrid cellular manufacturing systems in erratic demand conditions using axiomatic design",Düzensiz talep koşullarında melez üretim sistemlerinin aksiyomlarla tasarımı,other
"Şule Itır SATOĞLU * , M. Bülent DURMUŞOĞLU 34469, Design of hybrid cellular manufacturing systems in erratic demand conditions using axiomatic design",Düzensiz talep koşullarında melez üretim sistemlerinin aksiyomlarla tasarımı,other
"Şule Itır SATOĞLU * , M. Bülent DURMUŞOĞLU Ayazağa, Design of hybrid cellular manufacturing systems in erratic demand conditions using axiomatic design",Düzensiz talep koşullarında melez üretim sistemlerinin aksiyomlarla tasarımı,other
"Şule Itır SATOĞLU * , M. Bülent DURMUŞOĞLU İstanbul Design of hybrid cellular manufacturing systems in erratic demand conditions using axiomatic design",Düzensiz talep koşullarında melez üretim sistemlerinin aksiyomlarla tasarımı,other
"Afterwards, unidirectional flow in each cell was achieved by using the heuristic of Aneke and Carrie (1986) .",Extended abstract,other
"Parti tipi üretimin gerçekleştiği imalât sistemlerinde performansı arttırmak için tek parça akışı uygulanabilir (Miltenburg, 2001) .",Giriş,background
"Bu sistemlere de Melez Üretim Sistemleri (MÜS) denir (Shambu ve Suresh, 2000) .",Giriş,background
"MÜS tasarımı için genellikle sezgisel yöntemler geliştirilmiştir (Venkataramanaiah ve Krishnaiah, 2002; .",Giriş,background
"MÜS tasarımı için genellikle sezgisel yöntemler geliştirilmiştir (Venkataramanaiah ve Harhalakis vd., 1996; .",Giriş,background
"MÜS tasarımı için genellikle sezgisel yöntemler geliştirilmiştir (Venkataramanaiah ve Gravel vd., 2000; .",Giriş,background
